Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,59.6,-94.15,180.0,bottom
C1,64.35,-89.5,90.0,bottom
C10,80.85,-85.7,0.0,bottom
C2,82.5,-86.7,90.0,bottom
C3,83.15,-88.65,180.0,bottom
C4,73.9,-89.25,0.0,bottom
C5,74.95,-97.55,270.0,bottom
C6,83.6,-96.5,180.0,bottom
C7,82.65,-97.45,180.0,bottom
C8,70.2,-69.95,270.0,bottom
C9,78.85,-81.3,180.0,bottom
D1,89.55,-67.1275,90.0,bottom
D10,129.4,-86.2,90.0,bottom
D11,148.45,-86.2,90.0,bottom
D12,167.5,-86.2,90.0,bottom
D13,186.55,-86.2,90.0,bottom
D14,205.6,-86.2,90.0,bottom
D15,224.65,-86.2,90.0,bottom
D16,243.7,-86.2,90.0,bottom
D17,53.2,-105.25,90.0,bottom
D18,72.25,-105.25,90.0,bottom
D19,91.3,-105.25,90.0,bottom
D2,86.8,-67.1275,90.0,bottom
D20,110.35,-105.25,90.0,bottom
D21,129.4,-105.25,90.0,bottom
D22,148.45,-105.25,90.0,bottom
D23,167.5,-105.25,90.0,bottom
D24,186.55,-105.25,90.0,bottom
D25,205.6,-105.25,90.0,bottom
D26,224.65,-105.25,90.0,bottom
D27,243.7,-105.25,90.0,bottom
D28,57.9625,-124.3,90.0,bottom
D29,81.775,-124.3,90.0,bottom
D3,100.8475,-67.1275,90.0,bottom
D30,100.825,-124.3,90.0,bottom
D31,119.875,-124.3,90.0,bottom
D32,138.925,-124.3,90.0,bottom
D33,157.975,-124.3,90.0,bottom
D34,177.025,-124.3,90.0,bottom
D35,196.075,-124.3,90.0,bottom
D36,215.125,-124.3,90.0,bottom
D37,224.65,-124.3,90.0,bottom
D38,243.7,-124.3,90.0,bottom
D39,55.6725,-130.0,270.0,bottom
D4,119.8975,-67.1275,90.0,bottom
D40,94.2725,-130.0,270.0,bottom
D41,128.75,-130.0,270.0,bottom
D42,176.25,-130.0,270.0,bottom
D43,207.5,-130.0,270.0,bottom
D44,238.95,-130.0,270.0,bottom
D5,138.9475,-67.1275,90.0,bottom
D6,98.95,-86.1325,90.0,bottom
D7,96.2,-86.1775,90.0,bottom
D8,91.3225,-86.1775,90.0,bottom
D9,110.35,-86.2,90.0,bottom
F1,71.8,-67.7,270.0,bottom
J1,69.05625,-58.65,180.0,bottom
R1,76.0,-60.8,270.0,bottom
R2,75.05,-60.8,90.0,bottom
R3,64.4,-92.9,270.0,bottom
R4,65.4,-93.9,270.0,bottom
RST1,59.6,-88.10625,180.0,bottom
U1,78.58125,-92.86875,90.0,bottom
U2,69.05,-65.85,90.0,bottom
U3,79.85,-83.5,180.0,bottom
